"","Week","date","DateYYMMDD","Month","MonthN","Year","Season","Group","IntPhase","Delay1","Delay2","Location","Income","Community","HouseID","UniqueID","daystrapping","Placement","Indoor","Outdoor","AEAfemale","AWND","PRCP","TAVG","TMAX","TMIN","Cov200m","200mHouses","CovRate200","Participation"
"88",31,2017-08-01,170801,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH03","MCH03OUT170801",7,"OUT",0,1,3,"5.6",0,32.5,38.9,26.1,0,0,0,0.86
"89",31,2017-08-01,170801,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH04","MCH04IN170801",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.86
"90",31,2017-08-01,170801,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH04","MCH04OUT170801",7,"OUT",0,1,2,"5.6",0,32.5,38.9,26.1,0,0,0,0.86
"91",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR02","MRR02IN170801",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.65
"92",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR02","MRR02OUT170801",7,"OUT",0,1,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.65
"93",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR05","MRR05IN170801",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.65
"94",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR05","MRR05OUT170801",7,"OUT",0,1,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.65
"95",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT01","WCT01IN170801",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.5
"96",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT01","WCT01OUT170801",7,"OUT",0,1,7,"5.6",0,32.5,38.9,26.1,0,0,0,0.5
"97",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT08","WCT08IN170801",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.5
"98",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT08","WCT08OUT170801",7,"OUT",0,1,1,"5.6",0,32.5,38.9,26.1,0,0,0,0.5
"99",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT02","WCT02IN170801",11,"IN",1,0,4,"2.6",0,29.45,33.9,25,0,0,0,0.5
"100",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT02","WCT02OUT170801",11,"OUT",0,1,3,"2.6",0,29.45,33.9,25,0,0,0,0.5
"101",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT03","WCT03IN170801",18,"IN",1,0,0,"6.1",0.5,16.4,20,12.8,0,0,0,0.5
"102",31,2017-08-01,170801,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Weslaco","Middle","W3-Christian Ct","WCT03","WCT03OUT170801",18,"OUT",0,1,24,"6.1",0.5,16.4,20,12.8,0,0,0,0.5
"103",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF03","DF03IN170802",6,"IN",1,0,0,"1.7",0,16.65,23.9,9.4,0,0,0,0.55
"104",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF03","DF03OUT170802",6,"OUT",0,1,2,"1.7",0,16.65,23.9,9.4,0,0,0,0.55
"105",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF02","DF02IN170802",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.55
"106",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF02","DF02OUT170802",7,"OUT",0,1,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.55
"107",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF04","DF04IN170802",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.55
"108",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF04","DF04OUT170802",7,"OUT",0,1,4,"5.6",0,32.5,38.9,26.1,0,0,0,0.55
"109",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF10","DF10IN170802",7,"IN",1,0,0,"5.6",0,32.5,38.9,26.1,0,0,0,0.55
"110",31,2017-08-02,170802,"August",8,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF10","DF10OUT170802",7,"OUT",0,1,4,"7",0,32.25,37.8,26.7,0,0,0,0.55
"111",31,2017-08-02,170802,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV08","MLV08IN170802",7,"IN",1,0,0,"7",0,32.25,37.8,26.7,0,0,0,0.69
"112",31,2017-08-02,170802,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV08","MLV08OUT170802",7,"OUT",0,1,2,"7",0,32.25,37.8,26.7,0,0,0,0.69
"113",31,2017-08-02,170802,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV09","MLV09IN170802",7,"IN",1,0,0,"7",0,32.25,37.8,26.7,0,0,0,0.69
"114",31,2017-08-02,170802,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV09","MLV09OUT170802",7,"OUT",0,1,0,"7",0,32.25,37.8,26.7,0,0,0,0.69
"115",31,2017-08-02,170802,"August",8,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV10","MLV10IN170802",7,"IN",1,0,0,"7",0,32.25,37.8,26.7,0,0,0,0.69
